"result"
"[title]
Необходимо разработать на map отображение легенды
[problem]
сделать легенду в картах на портале
[solution]
закрыта в связи с неактуальностью"
"[title]
не ставится ЭЦП на чертеж
[problem]
не виден штамп подписи в документе для печати
[solution]
ошибка исправлена"
"[title]
консультация
[problem]
из корзины можно восстановить удаленный нетипизированный объект? как вывести на печать красные границы образуемого ЗУ
[solution]
консультация"
"[title]
Размещение уведомлений в ГИСОГД
[problem]
нет возможности размещать уведомления в исогд
[solution]
возможность реализована"
"[title]
Уведомление о планируемом строительстве
[problem]
Ошибка в шаблоне 
[solution]
Шаблон скорректирован"
"[title]
выходит ошибка при загрузке журнала изменений
[problem]
не открывается журнал изменений
[solution]
ошибка исправлена"
"[title]
Новая проблема с функцией ""Фильтровать по карте""
[problem]
не работает ""фильтровать на карте""
[solution]
функционал воссатновлен"
"[title]
Размещение полей в карточках [Услуга]
[problem]
не все поля приведены к единому расположения
[solution]
поля к единому расположению приведены"
"[title]
номер з.у. в карточке ""Решение о возврате уведомления""
[problem]
В карточке ""Решение о возврате уведомления"" при нажатии кнопки ""Сохранить"" нет автозаполнения номера земельного участка, как в уведомлении о соответствии или несоответствии
[solution]
Пожелание зафиксировано"
"[title]
Ошибка при регистрации документа в ИСОГД
[problem]
Ошибка при регистрации документа в ИСОГД
[solution]
поправили, документ в ИСОГД размещается."
"[title]
Госсобстввенность
[problem]
Посполит не может удалить дубли  в госсобственности
[solution]
объекты удаляются"
"[title]
Ошибка в системе требований.
[problem]
подкорректировать систему требований
[solution]
система требований откорректирована"
"[title]
ГПЗУ
[problem]
не формируется чертеж ГПЗУ
[solution]
ГПЗУ формируется, чертеж отображается в отчете"
"[title]
FW: Обновление сервера Геоис
[problem]
Настройка удаленного доступа после обновления сервера ГеоИС
[solution]
сервера обновлены"
"[title]
Ошибка загрузки данных
[problem]
при открытии разделов ИСОГД ошибка
[solution]
ошибка исправлена"
"[title]
Дополнение в систему требований
[problem]
внести изменения в систему требований
[solution]
Изменения внесены"
"[title]
Выгрузка КПТ
[problem]
при выгрузке КПТ кадастрового квартала 65:17:0000010 не отображается земельный участок с кадастровым номером 65:17:0000010:2067
[solution]
ЗУ на карте отображается"
"[title]
Инструкции по редактору метаданных
[problem]
передать инструкции по редактору метаданных
[solution]
Инструкции по работе с метаданными предоставлены"
