"result"
"[title]
Набор данных, раздел ""Данные""
[problem]
Набор данных. Не работают кнопки ""открыть слой"" и ""сменить карту"" на слое
[solution]
Доработка системы"
"[title]
Журнал ордеров и пространственный фильтр
[problem]
не выгружается журнал ордеров если применен пространственный фильтр
[solution]
работа фильтра восстановлена"
"[title]
ГосСобственность Отображение поля
[problem]
При заведении нового объекта в реестре (транспорт) заполнив поле права и обременение значение отображается и пропадает из поля.
[solution]
Внесение изменений в представление ZioActualLawView"
"[title]
Восстановить таблицу
[problem]
Данные таблиц D_SU_SAFETY, D_GEO_SAFETY восстановить из последнего дампа
[solution]
Данные таблиц D_SU_SAFETY, D_GEO_SAFETY восстановлены из последнего дампа за 24.07.2020."
"[title]
Нет регистрации документа 10 раздела
[problem]
нет кнопки ""Разместить в ИСОГД"" у документов в 10 разделе
[solution]
Ошибка исправлена"
"[title]
Ошибка - Нет кнопки ""Разместить в ИСОГД"" в 10 разделе
[problem]
нет кнопки ""Разместить в ИСОГД"" у документов в 10 разделе
[solution]
Ошибка исправлена"
"[title]
решение о присвоении адреса - нет кнопки ""ИСОГД""(разместить в ИСОГД)
[problem]
нет кнопки ""Разместить в ИСОГД"" у документов в 10 разделе
[solution]
Ошибка исправлена"
"[title]
нет кнопки ""ИСОГД"" 
[problem]
Не прикрепляется файл во вложение после согласования.
[solution]
Ошибка исправлена"
"[title]
Ошибка при формировании документа услу ГПЗУ
[problem]
при формировании ГПЗУ ошибка
[solution]
исправлена некорректная геометрия в адресном плане"
"[title]
ошибка формирования гпзу
[problem]
Ошибка при формировании ГПЗУ из за некорректной геометрии
[solution]
Временное удаление территориальной зоны с некорректной геометрией"
"[title]
не ставится ЭЦП на чертеже
[problem]
Не проставляется штамп на чертеже
[solution]
Конвертация и сжатие документа"
"[title]
Ошибка при выполнении запроса
[problem]
 не могу загрузить реестр государственной собственности
[solution]
не воспроизводится"
"[title]
Ошибка при формировании ГПЗУ
[problem]
не формируется ГПЗУ
[solution]
Проблема заключалась в какой то ""левой"" библиотеке imagemagick7-libs которая была установлена отдельно. Проблема решена удалением этой библиотеки:<br>
<strong>apt remove ImageMagick7-libs</strong>"
"[title]
Формирование титульного листа 
[problem]
номер книги 8240 формируется только 25%
[solution]
Титульный лист формируется"
"[title]
Загрузка актуальной СТП
[problem]
Импортёр выдаёт ошибку при загрузке нового СТП
[solution]
Настройка шаблона импорта СТП МР под 10 приказ"
"[title]
Не грузится карта
[problem]
Ошибка открытия карты
[solution]
Перезапуск служб сервера "
"[title]
Не объединяется геометрия двух линейных объектов
[problem]
Не объединяется геометрия двух линейных объектов
[solution]
Внесение изменений в модель прав, консультация по работе с системой."
"[title]
Не поступило  в систему уведомление от МФЦ 
[problem]
Не поступило  в систему уведомление от МФЦ
[solution]
консультация"
"[title]
Основание нахождения в реестре
[problem]
В выписках из реестра не отражается основание нахождения в реестре
[solution]
Информация выводится корректно"
"[title]
При вводе логина и пароля 
[problem]
не заходит в МГИС - Извините, произошла ошибка
[solution]
закрыта по неответу"
"[title]
Геометрия предполагаемых границы визуально не изменяется после редактирования
[problem]
Геометрия предполагаемых границы визуально не изменяется после редактирования
[solution]
Актуальность не подтверждена"
"[title]
ошибка формирования гпзу
[problem]
Ошибка формирования ГПЗУ
[solution]
ГПЗУ сформирован"
"[title]
не сохраняется карточка ""Градостроительное заключение""
[problem]
не сохраняется карточка ""Градостроительное заключение""
[solution]
карточка сохраняется"
